厾	厾 用尖的、较小的工具或棍棒刺东西
扎	扎 ①捆、缚②受惊而不自主地跳起来
栟	栟 旧式床的围栏或椅子的扶手的地方
楞	楞 ①瓣，量词②半边、半个、一部分
槽	槽 用好饲料喂牲口，使之快点肥起来
毒	毒 ①各啬，不肯给人家东西②心肠坏
水	水 ①水②雨③赌场收的税也叫“水”
没	没 ①潜水②隐匿别人的东西据为已有
泥	泥 ①土②用泥涂上或堵塞③使用浪费
焗	焗 ①罩住让器内焖热②罩住使之窒息
白	白 ①白色②直白、露骨③海蚌的一种
碑	碑 墙壁叫“墙碑”，壁顶叫“碑尾”
禾	禾 ①成熟到快要烂的状态②事情糟了
穿	穿 ①破成洞②里面的东西流出或露出
迄	迄 ①小便不由自主叫“迄尿”②留下
䘲	䘲 量词“股”，一股气味叫“一䘲馟”
喃	喃 嘴里不停地念，像背诵佛经时的动作
威	威 ①欺吓人②威胁③美丽、威猛、帅气
寿	寿 呆，如“寿头寿脑”即“呆头呆脑”
抆	抆 用泥浆状物涂上去或把小洞小缝封住
整	整 ①修理②造，如“整屋”即建造房屋
滘	滘 两水相通的河流，浅的一边叫“滘”
紧	紧 ①表示动作在进行中②不宽，不宽裕
赁	赁 租赁，限于出钱租用家庭小用具或书
𬒔	𬒔 被隆起的或碎粒状的东西顶住或扎住
兜	兜 ①从下往上用手盛起舀起②量词“棵”
庵	庵 ①尼姑住的地方②被殴打之后隆起的包
捏	捏 ①用指甲捏住、掐②一点、很少的意思
探	探 探头探脑地慢步走，如“白鹤探沙洲”
搙	搙 ①戳，用尖物刺进去，同“督”②搓擦
枉	枉 ①枉费、徒然②蛋坏了，孵蛋不能成雏
皮	皮 ①计算单程路②计算墙壁③一半④足够
着	着 ①对、不错②穿③中了药毒叫“着药”
走	走 ①跑②“走都”，忌讳义，是死的意思
庹	庹 两臂向左右伸张的长度。可能是“庹”字
跳	跳 眼皮颤动，如“眼眉跳”即眼皮自己颤动
䟴	䟴 大小腿部上下弹动叫“䟴脚”或“䟴花蹄”
墟	墟 市集，如“等墟”即“赶集”，写作“圩”
扲	扲 伸手入洞中或袋中取东西，即“探囊取物”
生	生 ①“熟”的反义词②“死”的反义词③生疏
盛	盛 ①把往下坠或往下滴的东西装载起来②垫高
𢫘	𢫘 ①和、跟②拌、混合③胡混、谋生不择手段
利	利 ①快、尖、锋利②贪心、占便宜④利益、利润
栈	栈 放菜肴或碗筷的小橱柜，如“𩠌栈”“碗栈”
褛	褛 ①披②披风，大衣的通称③成群地围聚在一起
亏	亏 ①体弱，内虚②损失了、少了③冤枉、怀才不遇
捞	捞 ①把下垂的软东西往上抽②用手抬扛或用下臂扛
炼	炼 如“炼禾”即用牛拉石碾子把带谷的稻打出谷来
呷	呷 ①直接嘴吸饮液体的动作②菜或大叶子作物的叶柄
坳	坳 两峰相连，低下去的地方（不是低陷地方的意思）
屈	屈 ①培育豆芽的叫“屈豆芽”②被强迫拿出财物③烘
掠	掠 ①用勺子轻轻取去浮在水面的很细微的东西②薄取
横	横 ①冤屈、嫁祸②“横直”的“横”③木器中的横木
烂	烂 ①破，如碗打烂了②腐烂③食物煮得过久导致松软
囊	囊 ①水泡②用薄膜包东西，东西下垂凸出所形成的球形
扦	扦 杀牲畜时把刀刺进喉中的动作，用尖物刺进去的动作
掬	掬 增加肥料、饲料、食物等使植物、动物和人发育旺盛
胆	胆 ①胆、胆囊②胆量、勇气③给人做某事的胆量、勇气
惯	惯 习惯成白然，迁就，如“无好惯紧其”（不要迁就他）
能	能 ①杀，多用于杀三鸟禽类割喉放血的动作②健壮、有力
三	三 ①如“下三”即一种走子儿的游戏②如“三人”即讽刺人
堂	堂 ①十里路叫“一堂路”②计量液体单位，如“一堂臭水”
对	对 ①正确②量词“双”③对联④日夜循环一次是“一个对”
揼	揼 ①失据而倒②自上而下打下来③掉下④用手或棍棒打击物体
濑	濑 ①被火略烧伤②烫伤的灼痛感③四周有河流包围的小块土地
畅	畅 ①货币零整交换②用以保护“竹箩”或筐底下的几条大竹片
餐	餐 ①量词“顿”，如“一餐饭”、“打了一餐”（打了一顿）
呸	呸 ①因忌讳表示不满②骂人语，表示把不吉利的事情扇回给对方
盎	盎 ①用双手折断②垂直物的一部分朝外突出，形成不整齐的状态
缵	缵 ①捉鱼虾的竹器，鱼虾能入不能出，即“簖”。②聚合、聚敛
胶	胶 ①能黏合器物的物质②用蛋白等有胶质的东西浸网叫“胶网”
旺	旺 ①旺盛、兴旺②火力猛③称东西秤尾高些，即多称一点③用火烘
趯	趯 ①追逐，男性追求女性②赶走，驱逐③提、挑。自下而上的笔法
厌	厌 因常吃而不想吃叫厌，如“其吃猪肉吃厌都”（他吃猪肉吃腻了）
眤	眤 件、块、些。“昵”是土字。如“一脆水糕”“那昵事我都无知”
参	参 ①剧烈运动后，呼气紧迫叫“参气”。“气参参”指气喘吁吁②人参
特	特 ①把钉或楔打入他物②一端打入他物，另一端用来挂或系东西用的钉
蔂	蔂 织得比较疏的竹签。装柴草用叫“柴蔂”，套在牛口的叫“牛口蔂”
㔹	㔹 ①叻、聪明、机灵②响亮③内脏像受刺那样发痛④畦，“一㔹菜”即一畦菜
坎	坎 ①种菜的小穴叫“菜坎”，常作量词②自然形成或人工修筑的台阶状的东西
樸	樸 隆起的扁圆的物体、包，如“其个头壳起都个襥”（他的脑瓜碰起了个包）
沤	沤 ①未熟的果子藏起来让它成熟②煮东西停火让它慢慢熟③浸渍，用水浸使变质
笪	笪 ①竹片编织的像席子的竹器，常做船篷用②量词，计算一片粘在物体上的东西
上也	上也 好
上腭	上腭 腭
去货	去货 死
墨屎	墨屎 痣
山鸡	山鸡 雉
快脆	快脆 快
手凿	手凿 肘
涴错	涴错 脏
灰佬	灰佬 鬼
烧酒	烧酒 酒
稳磌	稳磌 稳
细妈	细妈 妾
细娘	细娘 妾
细婶	细婶 妾
缉畅	缉畅 斜
袍鱼	袍鱼 鳐
邋遢	邋遢 脏
鲩鱼	鲩鱼 鲭
大枱	大枱 坐8人的大方桌
㑷子	㑷子 那样
㓷颈	㓷颈 自刎
䞌底	䞌底 吃亏
一了	一了 向来
一胒	一胒 一些
三板	三板 舢板
上向	上向 赏脸
上堂	上堂 上课
上晏	上晏 上午
上水	上水 五脏
下低	下低 下面
下底	下底 下面
下晏	下晏 下午
下落	下落 着落
丑样	丑样 貌丑
丑生	丑生 丑角
丑鬼	丑鬼 难看
东边	东边 东面
为喉	为喉 贪吃
乃处	乃处 那里
乞儿	乞儿 乞丐
乞衣	乞衣 乞丐
乱讲	乱讲 胡说
了事	了事 既然
争交	争交 争辩
